Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-September-2022,696.80,703.70,690.25,692.65,696.734774862325882734,24696,1900,17206562.00,9942,40.26,13.45,-4.15
30-August-2022,698.80,699.00,686.65,696.80,692.703609792079664376,21691,1405,15025434.00,7839,36.14,12.35,-2.00
29-August-2022,690.00,705.15,687.00,688.50,695.460841395613535875,22843,1316,15886412.00,6936,30.36,18.15,-1.50
26-August-2022,704.70,719.85,702.30,712.60,709.762900238158242921,41569,1746,29504134.00,20484,49.28,17.55,7.90
25-August-2022,692.70,711.75,691.60,699.90,701.475996933882382302,56097,2585,39350699.00,25456,45.38,20.15,7.20
24-August-2022,674.40,690.70,674.40,689.15,678.661913740278105114,16972,822,11518250.00,7402,43.61,16.30,14.75
23-August-2022,666.00,678.45,657.30,676.30,670.075619251042133186,29027,1883,19450285.00,4739,16.33,21.15,10.30
22-August-2022,684.00,685.00,669.50,670.35,673.646655024989462274,33214,1558,22374500.00,16092,48.45,15.50,-13.65
19-August-2022,704.90,705.55,680.60,683.05,692.298931714433620405,21249,1272,14710660.00,7517,35.38,24.95,-21.85
18-August-2022,702.70,712.00,698.85,703.80,704.689773568151546544,33785,1283,23807944.00,,,13.15,1.10
17-August-2022,719.30,726.30,703.15,705.40,710.562693658335054740,43569,3277,30958506.00,20754,47.63,23.15,-13.90
16-August-2022,700.35,724.00,696.80,719.30,713.801590405423021770,30684,1413,21902288.00,9949,32.42,27.20,18.95
12-August-2022,708.90,708.90,699.00,699.90,703.652657839186336595,15633,733,11000202.00,3289,21.04,9.90,-9.00
11-August-2022,700.00,705.60,693.80,699.55,700.791466054154335438,22639,1247,15865218.00,5168,22.83,11.80,-0.45
10-August-2022,694.00,700.00,681.80,690.05,688.713790956494668845,25698,1263,17698567.00,4230,16.46,18.20,-3.95
8-August-2022,686.00,699.25,667.20,696.95,687.014606108418798602,44365,2329,30479403.00,5412,12.20,32.05,10.95
5-August-2022,692.00,703.15,683.70,685.35,693.041892109854983210,68199,3205,47264764.00,10934,16.03,19.45,-6.65
4-August-2022,698.50,700.65,674.00,679.25,686.114856280768619977,25188,1288,17281861.00,6207,24.64,26.65,-19.25
3-August-2022,722.90,727.65,691.30,698.95,703.893657186005537377,31784,2009,22372556.00,7001,22.03,36.35,-23.95
2-August-2022,705.05,733.55,701.45,726.05,713.736481861738535249,61362,3865,43796298.00,32897,53.61,32.10,21.00
1-August-2022,713.00,720.30,706.95,709.85,712.735606643871289146,353288,1664,251800937.00,332900,94.23,13.35,-3.15
